SRNO,COMPANY,DATE,QUANTITY,PURCHASE PRICE,PURCHASE VALUE,Latest Price,Profit/Loss,Percentage Change,Ticker
42.0,CDSL,23-08-2021,20.0,1150.9,23018.0,1170.0,381.9999999999982,1.6595707707011822,CDSL.NS
43.0,PIDILITEIND,23-08-2021,5.0,2235.05,11175.25,,,,PIDILITEIND.NS
44.0,SBIN,27-08-2021,50.0,412.85,20642.5,745.0,16607.5,80.4529490129587,SBIN.NS
45.0,PERSISTANT ,27-08-2021,5.0,3250.0,16250.0,,,,PERSISTANT.NS
46.0,L&T TECHNOLOGY,27-08-2021,4.0,3963.0,15852.0,,,,L&TTECHNOLOGY.NS
47.0,GUJGASLTD,27-08-2021,20.0,704.2,14084.0,392.6499938964844,-6231.000122070313,-44.24169356766765,GUJGASLTD.NS
48.0,ICICI BANK,27-08-2021,20.0,694.8,13896.0,1312.050048828125,12345.0009765625,88.83852170813545,ICICIBANK.NS
49.0,LTI,27-08-2021,5.0,5246.7,26233.5,,,,LTI.NS
50.0,YES BANK,27-08-2021,200.0,11.05,2210.0,17.010000228881836,1192.000045776367,53.93665365503922,YESBANK.NS
51.0,L&T TECHNOLOGY,31-08-2021,4.0,3944.16,15776.64,,,,L&TTECHNOLOGY.NS
52.0,PERSISTANT ,31-08-2021,5.0,3322.12,16610.6,,,,PERSISTANT.NS
53.0,L&T TECHNOLOGY,01-09-2021,5.0,3927.8,19639.0,,,,L&TTECHNOLOGY.NS
54.0,GUJGASLTD,01-09-2021,30.0,705.3,21159.0,392.6499938964844,-9379.500183105467,-44.32865533865243,GUJGASLTD.NS
55.0,HERO MOTOCORP,01-09-2021,5.0,2752.35,13761.75,,,,HEROMOTOCORP.NS
56.0,TCS,01-09-2021,10.0,3718.35,37183.5,3496.199951171875,-2221.500488281249,-5.974425452905856,TCS.NS
57.0,INFOSYS,01-09-2021,10.0,1681.1,16811.0,,,,INFOSYS.NS
58.0,BAJAJ FINANCE,02-09-2021,4.0,7493.85,29975.4,,,,BAJAJFINANCE.NS
59.0,INFOSYS,02-09-2021,20.0,1689.85,33797.0,,,,INFOSYS.NS
60.0,SBIN,02-09-2021,50.0,430.05,21502.5,745.0,15747.5,73.23567027089872,SBIN.NS
61.0,TECH MAHINDRA,02-09-2021,10.0,1437.8,14378.0,,,,TECHMAHINDRA.NS
62.0,GUJGASLTD,06-09-2021,100.0,686.03,68603.0,392.6499938964844,-29338.00061035156,-42.764894553228814,GUJGASLTD.NS
63.0,HAPPSTMNDS,06-09-2021,10.0,1492.1,14921.0,640.75,-8513.5,-57.057167750150796,HAPPSTMNDS.NS
64.0,GAIL,06-09-2021,50.0,147.0,7350.0,165.61000061035156,930.5000305175781,12.659864360783377,GAIL.NS
65.0,WIPRO,06-09-2021,50.0,685.6,34280.0,265.70001220703125,-20994.999389648438,-61.245622490222985,WIPRO.NS
66.0,WIPRO,07-09-2021,50.0,680.2,34010.0,265.70001220703125,-20724.99938964844,-60.93795762907509,WIPRO.NS
67.0,WIPRO,07-09-2021,50.0,673.4,33670.0,265.70001220703125,-20384.999389648438,-60.543508730764586,WIPRO.NS
68.0,WIPRO,08-09-2021,25.0,666.9,16672.5,265.70001220703125,-10029.999694824219,-60.15894253905664,WIPRO.NS
69.0,WIPRO,08-09-2021,25.0,667.2,16680.0,265.70001220703125,-10037.49969482422,-60.17685668359844,WIPRO.NS
70.0,WIPRO,09-09-2021,25.0,662.35,16558.75,265.70001220703125,-9916.249694824219,-59.885255196341625,WIPRO.NS
71.0,JUPITERIND,09-09-2021,100.0,22.5,2250.0,,,,JUPITERIND.NS
72.0,WIPRO,09-09-2021,100.0,658.13,65813.0,265.70001220703125,-39242.998779296875,-59.62803515915833,WIPRO.NS
73.0,GUJGASLTD,09-09-2021,50.0,685.3,34265.0,392.6499938964844,-14632.50030517578,-42.703926178829064,GUJGASLTD.NS
74.0,INFOSYS,09-09-2021,10.0,1686.65,16866.5,,,,INFOSYS.NS
75.0,TCS,09-09-2021,10.0,3774.75,37747.5,3496.199951171875,-2785.50048828125,-7.379297935707663,TCS.NS
